date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:33	68348/68348	---MCZ	200	added ('OK')	text/html	etag:W/%226443db8f-10afc%22	http://solonick.kwst.net/site/index3.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/index3.html	(from )
10:05:33	2035/2035	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Sep%202024%2007:05:33%20GMT	http://solonick.kwst.net/robots.txt		(from )
10:05:34	1107/1107	---M--	200	added ('OK')	text/css	etag:%225825bc44-453%22	http://solonick.kwst.net/site/css/reset.css	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/css/reset.css	(from http://solonick.kwst.net/site/index3.html)
10:05:34	86858/86858	---MCZ	200	added ('OK')	text/css	etag:W/%225d2b569e-1534a%22	http://solonick.kwst.net/site/css/plugins.css	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/css/plugins.css	(from http://solonick.kwst.net/site/index3.html)
10:05:35	120468/120468	---MCZ	200	added ('OK')	text/css	etag:W/%226443da84-1d694%22	http://solonick.kwst.net/site/css/style.css	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/css/style.css	(from http://solonick.kwst.net/site/index3.html)
10:05:35	4166/4166	---MCZ	200	added ('OK')	text/css	etag:W/%225acccd60-1046%22	http://solonick.kwst.net/site/css/color.css	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/css/color.css	(from http://solonick.kwst.net/site/index3.html)
10:05:35	318/318	---M--	200	added ('OK')	image/x-icon	etag:%22541fa3a4-13e%22	http://solonick.kwst.net/site/images/favicon.ico	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/images/favicon.ico	(from http://solonick.kwst.net/site/index3.html)
10:05:35	71993/71993	---MCZ	200	added ('OK')	text/html	etag:W/%226443db8f-11939%22	http://solonick.kwst.net/site/index.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/index.html	(from http://solonick.kwst.net/site/index3.html)
10:05:36	13807/13807	---M--	200	added ('OK')	image/png	etag:%225a97e558-35ef%22	http://solonick.kwst.net/site/images/logo.png	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/images/logo.png	(from http://solonick.kwst.net/site/index3.html)
10:05:36	2021/2021	---M--	200	added ('OK')	image/png	etag:%225ac358ea-7e5%22	http://solonick.kwst.net/site/images/logo2.png	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/images/logo2.png	(from http://solonick.kwst.net/site/index3.html)
10:05:36	68205/68205	---MCZ	200	added ('OK')	text/html	etag:W/%226443db8f-10a6d%22	http://solonick.kwst.net/site/index2.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/index2.html	(from http://solonick.kwst.net/site/index3.html)
10:05:37	68052/68052	---MCZ	200	added ('OK')	text/html	etag:W/%226443db8f-109d4%22	http://solonick.kwst.net/site/index4.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/index4.html	(from http://solonick.kwst.net/site/index3.html)
10:05:37	70212/70212	---MCZ	200	added ('OK')	text/html	etag:W/%226443db8f-11244%22	http://solonick.kwst.net/site/index5.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/index5.html	(from http://solonick.kwst.net/site/index3.html)
10:05:37	68950/68950	---MCZ	200	added ('OK')	text/html	etag:W/%226443db8f-10d56%22	http://solonick.kwst.net/site/index6.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/index6.html	(from http://solonick.kwst.net/site/index3.html)
10:05:37	71252/71252	---MCZ	200	added ('OK')	text/html	etag:W/%226443db8f-11654%22	http://solonick.kwst.net/site/index7.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/index7.html	(from http://solonick.kwst.net/site/index3.html)
10:05:38	68848/68848	---MCZ	200	added ('OK')	text/html	etag:W/%226443db8f-10cf0%22	http://solonick.kwst.net/site/index8.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/index8.html	(from http://solonick.kwst.net/site/index3.html)
10:05:38	32606/32606	---MCZ	200	added ('OK')	text/html	etag:W/%226443db9a-7f5e%22	http://solonick.kwst.net/site/portfolio.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio.html	(from http://solonick.kwst.net/site/index3.html)
10:05:38	32451/32451	---MCZ	200	added ('OK')	text/html	etag:W/%226443db9a-7ec3%22	http://solonick.kwst.net/site/portfolio2.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio2.html	(from http://solonick.kwst.net/site/index3.html)
10:05:38	27230/27230	---MCZ	200	added ('OK')	text/html	etag:W/%226443db9a-6a5e%22	http://solonick.kwst.net/site/portfolio3.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio3.html	(from http://solonick.kwst.net/site/index3.html)
10:05:39	23737/23737	---MCZ	200	added ('OK')	text/html	etag:W/%226443db9a-5cb9%22	http://solonick.kwst.net/site/portfolio4.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio4.html	(from http://solonick.kwst.net/site/index3.html)
10:05:39	25027/25027	---MCZ	200	added ('OK')	text/html	etag:W/%226443db9a-61c3%22	http://solonick.kwst.net/site/portfolio5.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio5.html	(from http://solonick.kwst.net/site/index3.html)
10:05:39	24410/24410	---MCZ	200	added ('OK')	text/html	etag:W/%226443db9a-5f5a%22	http://solonick.kwst.net/site/portfolio6.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio6.html	(from http://solonick.kwst.net/site/index3.html)
10:05:40	22749/22749	---MCZ	200	added ('OK')	text/html	etag:W/%226443db9a-58dd%22	http://solonick.kwst.net/site/portfolio8.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio8.html	(from http://solonick.kwst.net/site/index3.html)
10:05:40	30290/30290	---MCZ	200	added ('OK')	text/html	etag:W/%226443dba8-7652%22	http://solonick.kwst.net/site/portfolio-single.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio-single.html	(from http://solonick.kwst.net/site/index3.html)
10:05:40	27870/27870	---MCZ	200	added ('OK')	text/html	etag:W/%226443dba8-6cde%22	http://solonick.kwst.net/site/portfolio-single2.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio-single2.html	(from http://solonick.kwst.net/site/index3.html)
10:05:40	28276/28276	---MCZ	200	added ('OK')	text/html	etag:W/%226443dba8-6e74%22	http://solonick.kwst.net/site/portfolio-single3.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio-single3.html	(from http://solonick.kwst.net/site/index3.html)
10:05:41	28823/28823	---MCZ	200	added ('OK')	text/html	etag:W/%226443dba8-7097%22	http://solonick.kwst.net/site/portfolio-single4.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio-single4.html	(from http://solonick.kwst.net/site/index3.html)
10:05:41	26172/26172	---MCZ	200	added ('OK')	text/html	etag:W/%226443dba8-663c%22	http://solonick.kwst.net/site/portfolio-single5.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio-single5.html	(from http://solonick.kwst.net/site/index3.html)
10:05:41	27038/27038	---MCZ	200	added ('OK')	text/html	etag:W/%226443dba8-699e%22	http://solonick.kwst.net/site/portfolio-single6.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio-single6.html	(from http://solonick.kwst.net/site/index3.html)
10:05:41	26404/26404	---MCZ	200	added ('OK')	text/html	etag:W/%226443dba8-6724%22	http://solonick.kwst.net/site/portfolio-single7.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio-single7.html	(from http://solonick.kwst.net/site/index3.html)
10:05:42	25889/25889	---MCZ	200	added ('OK')	text/html	etag:W/%226443dba8-6521%22	http://solonick.kwst.net/site/portfolio-single8.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/portfolio-single8.html	(from http://solonick.kwst.net/site/index3.html)
10:05:42	21935/21935	---MCZ	200	added ('OK')	text/html	etag:W/%226443dbb2-55af%22	http://solonick.kwst.net/site/services.html	C:/My%20Web%20Sites/denis03/solonick.kwst.net/site/services.html	(from http://solonick.kwst.net/site/index3.html)
